Indexer Initialized. Flattened 840 sets into vectors of size 2520

Building Static Game Trees in RAM...
Detected 10 CPU Cores.
Starting multithreaded CFR Training (10000000 games total)...

Time:  13.9738 seconds
Speed: 715623 games/sec

Training Complete.

=== LEARNED STRATEGY (Atomic Based) ===
Info Set (Card:Hist)     Fold           Call/Check     Bet/Raise      
K:J:crccr                0.001          0.997          0.002          
K:J:crccrr               0.525          0.471          0.004          
K:J:crccrrr              0.225          0.225          0.551          
K:J:crccrrrr             0.607          0.393          0.000          
K:J:crcr                 0.177          0.817          0.006          
K:J:crcrr                0.781          0.208          0.011          
K:J:crcrrr               0.068          0.157          0.774          
K:J:crcrrrr              0.493          0.507          0.000          
K:J:crrc                 0.002          0.742          0.256          
K:J:crrcc                0.118          0.131          0.751          
K:J:crrccr               0.159          0.832          0.009          
K:J:crrccrr              0.055          0.058          0.888          
K:J:crrccrrr             0.045          0.314          0.641          
K:J:crrccrrrr            0.033          0.967          0.000          
K:J:crrcr                0.118          0.591          0.291          
K:J:crrcrr               0.013          0.972          0.016          
K:J:crrcrrr              0.140          0.334          0.526          
K:J:crrcrrrr             0.092          0.908          0.000          
K:J:crrrc                0.011          0.261          0.728          
K:J:crrrcc               0.010          0.947          0.043          
K:J:crrrccr              0.015          0.967          0.019          
K:J:crrrccrr             0.003          0.083          0.914          
K:J:crrrccrrr            0.248          0.248          0.505          
K:J:crrrccrrrr           0.002          0.998          0.000          
K:J:crrrcr               0.000          0.995          0.005          
K:J:crrrcrr              0.007          0.024          0.969          
K:J:crrrcrrr             0.033          0.454          0.513          
K:J:crrrcrrrr            0.002          0.998          0.000          
K:J:crrrrc               0.000          0.975          0.024          
K:J:crrrrcc              0.000          0.517          0.483          
K:J:crrrrccr             0.000          0.988          0.011          
K:J:crrrrccrr            0.000          0.351          0.649          
K:J:crrrrccrrr           0.010          0.117          0.873          
K:J:crrrrccrrrr          0.000          1.000          0.000          
K:J:crrrrcr              0.000          0.995          0.004          
K:J:crrrrcrr             0.012          0.081          0.907          
K:J:crrrrcrrr            0.017          0.629          0.354          
K:J:crrrrcrrrr           0.006          0.994          0.000          
K:J:rc                   0.003          0.970          0.026          
K:J:rcc                  0.003          0.317          0.680          
K:J:rccr                 0.106          0.890          0.003          
K:J:rccrr                0.988          0.002          0.010          
K:J:rccrrr               0.050          0.195          0.755          
K:J:rccrrrr              0.068          0.932          0.000          
K:J:rcr                  0.003          0.988          0.009          
K:J:rcrr                 0.571          0.381          0.049          
K:J:rcrrr                0.120          0.164          0.717          
K:J:rcrrrr               0.189          0.811          0.000          
K:J:rrc                  0.005          0.875          0.121          
K:J:rrcc                 0.002          0.819          0.180          
K:J:rrccr                0.002          0.991          0.008          
K:J:rrccrr               0.175          0.793          0.033          
K:J:rrccrrr              0.084          0.220          0.696          
K:J:rrccrrrr             0.049          0.951          0.000          
K:J:rrcr                 0.079          0.912          0.009          
K:J:rrcrr                0.012          0.917          0.070          
K:J:rrcrrr               0.057          0.106          0.837          
K:J:rrcrrrr              0.096          0.904          0.000          
K:J:rrrc                 0.000          0.969          0.030          
K:J:rrrcc                0.000          0.808          0.191          
K:J:rrrccr               0.013          0.963          0.025          
K:J:rrrccrr              0.221          0.452          0.327          
K:J:rrrccrrr             0.850          0.080          0.070          
K:J:rrrccrrrr            0.944          0.056          0.000          
K:J:rrrcr                0.000          0.996          0.003          
K:J:rrrcrr               0.005          0.293          0.702          
K:J:rrrcrrr              0.094          0.192          0.714          
K:J:rrrcrrrr             0.003          0.997          0.000          
K:J:rrrrc                0.000          0.803          0.197          
K:J:rrrrcc               0.001          0.811          0.188          
K:J:rrrrccr              0.000          0.995          0.004          
K:J:rrrrccrr             0.002          0.030          0.968          
K:J:rrrrccrrr            0.009          0.320          0.671          
K:J:rrrrccrrrr           0.001          0.999          0.000          
K:J:rrrrcr               0.001          0.755          0.244          
K:J:rrrrcrr              0.000          0.952          0.048          
K:J:rrrrcrrr             0.002          0.431          0.567          
K:J:rrrrcrrrr            0.005          0.995          0.000          
K:K:cc                   0.004          0.099          0.897          
K:K:ccc                  0.008          0.009          0.983          
K:K:cccr                 0.013          0.014          0.973          
K:K:cccrr                0.003          0.003          0.994          
K:K:cccrrr               0.004          0.158          0.838          
K:K:cccrrrr              0.002          0.998          0.000          
K:K:ccr                  0.008          0.009          0.983          
K:K:ccrr                 0.001          0.005          0.994          
K:K:ccrrr                0.003          0.006          0.991          
K:K:ccrrrr               0.000          0.999          0.000          
K:K:crc                  0.003          0.041          0.956          
K:K:crcc                 0.001          0.001          0.998          
K:K:crccr                0.025          0.026          0.949          
K:K:crccrr               0.000          0.000          0.999          
K:K:crccrrr              0.010          0.196          0.794          
K:K:crccrrrr             0.000          1.000          0.000          
K:K:crcr                 0.001          0.003          0.996          
K:K:crcrr                0.001          0.001          0.998          
K:K:crcrrr               0.000          0.003          0.997          
K:K:crcrrrr              0.000          0.999          0.000          
K:K:crrc                 0.002          0.134          0.863          
K:K:crrcc                0.114          0.124          0.762          
K:K:crrccr               0.006          0.014          0.979          
K:K:crrccrr              0.050          0.056          0.894          
K:K:crrccrrr             0.002          0.010          0.988          
K:K:crrccrrrr            0.028          0.972          0.000          
K:K:crrcr                0.114          0.133          0.753          
K:K:crrcrr               0.000          0.002          0.997          
K:K:crrcrrr              0.055          0.076          0.870          
K:K:crrcrrrr             0.000          1.000          0.000          
K:K:crrrc                0.010          0.765          0.224          
K:K:crrrcc               0.000          0.004          0.995          
K:K:crrrccr              0.005          0.006          0.990          
K:K:crrrccrr             0.000          0.002          0.998          
K:K:crrrccrrr            0.002          0.002          0.996          
K:K:crrrccrrrr           0.000          1.000          0.000          
K:K:crrrcr               0.000          0.003          0.996          
K:K:crrrcrr              0.014          0.015          0.971          
K:K:crrrcrrr             0.000          0.002          0.998          
K:K:crrrcrrrr            0.005          0.995          0.000          
K:K:crrrrc               0.000          0.962          0.037          
K:K:crrrrcc              0.000          0.000          0.999          
K:K:crrrrccr             0.000          0.004          0.996          
K:K:crrrrccrr            0.000          0.000          1.000          
K:K:crrrrccrrr           0.000          0.000          1.000          
K:K:crrrrccrrrr          0.000          1.000          0.000          
K:K:crrrrcr              0.000          0.000          0.999          
K:K:crrrrcrr             0.008          0.026          0.965          
K:K:crrrrcrrr            0.000          0.000          1.000          
K:K:crrrrcrrrr           0.004          0.996          0.000          
K:K:rc                   0.001          0.004          0.995          
K:K:rcc                  0.003          0.005          0.992          
K:K:rccr                 0.130          0.251          0.619          
K:K:rccrr                0.001          0.002          0.997          
K:K:rccrrr               0.073          0.290          0.637          
K:K:rccrrrr              0.000          0.999          0.000          
K:K:rcr                  0.003          0.004          0.992          
K:K:rcrr                 0.000          0.002          0.998          
K:K:rcrrr                0.001          0.003          0.996          
K:K:rcrrrr               0.000          1.000          0.000          
K:K:rrc                  0.005          0.131          0.864          
