Indexer Initialized. Flattened 840 sets into vectors of size 2520

Building Static Game Trees in RAM...
Started Fast CFR Training (1000000 games)...
....................................................................................................Time:  0.381462 seconds
Speed: 2.6215e+06 games/sec

Training Complete.

=== LEARNED STRATEGY (Vector Based) ===
Info Set (Card:Hist)     Fold           Call/Check     Bet/Raise      
K:J:crrccrrr             0.000          0.000          1.000          
K:J:crrccrrrr            0.500          0.500          0.000          
K:J:crrcr                0.000          1.000          0.000          
K:J:crrcrr               0.317          0.671          0.012          
K:J:crrcrrr              0.333          0.333          0.333          
K:J:crrcrrrr             0.500          0.500          0.000          
K:J:crrrc                0.000          0.920          0.080          
K:J:crrrcc               0.000          0.871          0.129          
K:J:crrrccr              0.000          0.987          0.013          
K:J:crrrccrr             0.000          0.998          0.002          
K:J:crrrccrrr            0.000          0.410          0.590          
K:J:crrrccrrrr           0.500          0.500          0.000          
K:J:crrrcr               0.000          1.000          0.000          
K:J:crrrcrr              0.000          0.960          0.040          
K:J:crrrcrrr             0.333          0.333          0.333          
K:J:crrrcrrrr            0.000          1.000          0.000          
K:J:crrrrc               0.000          0.945          0.055          
K:J:crrrrcc              0.000          0.550          0.450          
K:J:crrrrccr             0.000          1.000          0.000          
K:J:crrrrccrr            0.000          0.384          0.616          
K:J:crrrrccrrr           0.333          0.333          0.333          
K:J:crrrrccrrrr          0.000          1.000          0.000          
K:J:crrrrcr              0.000          0.695          0.304          
K:J:crrrrcrr             0.045          0.943          0.013          
K:J:crrrrcrrr            0.000          1.000          0.000          
K:J:crrrrcrrrr           0.000          1.000          0.000          
K:J:rc                   0.000          0.999          0.001          
K:J:rcc                  0.000          0.272          0.728          
K:J:rccr                 0.096          0.903          0.000          
K:J:rccrr                0.999          0.000          0.000          
K:J:rccrrr               0.000          0.597          0.403          
K:J:rccrrrr              0.000          1.000          0.000          
K:J:rcr                  0.157          0.843          0.000          
K:J:rcrr                 0.756          0.072          0.171          
K:J:rcrrr                0.071          0.431          0.498          
K:J:rcrrrr               0.500          0.500          0.000          
K:J:rrc                  0.000          0.857          0.143          
K:J:rrcc                 0.000          0.763          0.237          
K:J:rrccr                0.000          0.999          0.000          
K:J:rrccrr               0.140          0.859          0.001          
K:J:rrccrrr              0.222          0.222          0.556          
K:J:rrccrrrr             0.505          0.495          0.000          
K:J:rrcr                 0.076          0.923          0.002          
K:J:rrcrr                0.992          0.008          0.000          
K:J:rrcrrr               0.333          0.333          0.333          
K:J:rrcrrrr              0.333          0.333          0.333          
K:J:rrrc                 0.000          0.990          0.010          
K:J:rrrcc                0.000          0.067          0.933          
K:J:rrrccr               0.004          0.994          0.002          
K:J:rrrccrr              0.000          0.875          0.125          
K:J:rrrccrrr             0.013          0.013          0.974          
K:J:rrrccrrrr            0.003          0.997          0.000          
K:J:rrrcr                0.002          0.560          0.438          
K:J:rrrcrr               0.431          0.104          0.465          
K:J:rrrcrrr              0.589          0.003          0.408          
K:J:rrrcrrrr             1.000          0.000          0.000          
K:J:rrrrc                0.000          0.983          0.017          
K:J:rrrrcc               0.000          0.842          0.158          
K:J:rrrrccr              0.000          0.989          0.011          
K:J:rrrrccrr             0.000          0.426          0.574          
K:J:rrrrccrrr            0.012          0.516          0.472          
K:J:rrrrccrrrr           0.000          1.000          0.000          
K:J:rrrrcr               0.000          0.997          0.003          
K:J:rrrrcrr              0.028          0.314          0.658          
K:J:rrrrcrrr             0.236          0.314          0.449          
K:J:rrrrcrrrr            0.066          0.934          0.000          
K:K:cc                   0.000          0.003          0.997          
K:K:ccc                  0.000          0.000          1.000          
K:K:cccr                 0.013          0.013          0.973          
K:K:cccrr                0.000          0.000          1.000          
K:K:cccrrr               0.005          0.006          0.989          
K:K:cccrrrr              0.000          1.000          0.000          
K:K:ccr                  0.000          0.000          1.000          
K:K:ccrr                 0.000          0.000          1.000          
K:K:ccrrr                0.000          0.500          0.500          
K:K:ccrrrr               0.000          1.000          0.000          
K:K:crc                  0.000          0.769          0.231          
K:K:crcc                 0.000          0.000          1.000          
K:K:crccr                0.000          0.000          1.000          
K:K:crccrr               0.000          0.556          0.444          
K:K:crccrrr              0.000          0.147          0.853          
K:K:crccrrrr             0.000          1.000          0.000          
K:K:crcr                 0.000          0.500          0.500          
K:K:crcrr                0.000          0.000          1.000          
K:K:crcrrr               0.333          0.333          0.333          
K:K:crcrrrr              0.000          1.000          0.000          
K:K:crrc                 0.000          0.005          0.995          
K:K:crrcc                0.000          0.000          1.000          
K:K:crrccr               0.000          0.000          1.000          
K:K:crrccrr              0.000          0.000          1.000          
K:K:crrccrrr             0.000          0.000          1.000          
K:K:crrccrrrr            0.000          1.000          0.000          
K:K:crrcr                0.000          0.000          1.000          
K:K:crrcrr               0.000          0.000          1.000          
K:K:crrcrrr              0.000          0.000          1.000          
K:K:crrcrrrr             0.000          1.000          0.000          
K:K:crrrc                0.000          0.895          0.105          
K:K:crrrcc               0.000          0.055          0.945          
K:K:crrrccr              0.000          0.000          1.000          
K:K:crrrccrr             0.000          0.478          0.522          
K:K:crrrccrrr            0.000          0.500          0.500          
K:K:crrrccrrrr           0.000          1.000          0.000          
K:K:crrrcr               0.000          0.000          0.999          
K:K:crrrcrr              0.000          0.002          0.998          
K:K:crrrcrrr             0.000          0.500          0.500          
K:K:crrrcrrrr            0.000          1.000          0.000          
K:K:crrrrc               0.000          0.361          0.639          
K:K:crrrrcc              0.000          0.068          0.932          
K:K:crrrrccr             0.000          0.000          1.000          
K:K:crrrrccrr            0.000          0.483          0.517          
K:K:crrrrccrrr           0.000          0.000          1.000          
K:K:crrrrccrrrr          0.000          1.000          0.000          
K:K:crrrrcr              0.000          0.000          1.000          
K:K:crrrrcrr             0.000          0.000          1.000          
K:K:crrrrcrrr            0.000          0.000          1.000          
K:K:crrrrcrrrr           0.000          1.000          0.000          
K:K:rc                   0.000          0.014          0.986          
K:K:rcc                  0.000          0.000          1.000          
K:K:rccr                 0.001          0.002          0.997          
K:K:rccrr                0.000          0.000          1.000          
K:K:rccrrr               0.001          0.001          0.998          
K:K:rccrrrr              0.000          1.000          0.000          
K:K:rcr                  0.000          0.000          1.000          
K:K:rcrr                 0.000          0.000          1.000          
K:K:rcrrr                0.000          0.500          0.500          
K:K:rcrrrr               0.000          1.000          0.000          
K:K:rrc                  0.000          0.999          0.001          
K:K:rrcc                 0.000          0.000          1.000          
K:K:rrccr                0.000          0.000          1.000          
K:K:rrccrr               0.000          0.636          0.364          
K:K:rrccrrr              0.000          0.000          1.000          
K:K:rrccrrrr             0.000          1.000          0.000          
K:K:rrcr                 0.000          0.000          1.000          
K:K:rrcrr                0.000          0.310          0.690          
K:K:rrcrrr               0.000          0.184          0.816          
K:K:rrcrrrr              0.056          0.944          0.000          
K:K:rrrc                 0.000          0.003          0.997          
K:K:rrrcc                0.000          0.001          0.998          
K:K:rrrccr               0.000          0.007          0.993          
K:K:rrrccrr              0.000          0.000          0.999          
K:K:rrrccrrr             0.000          0.011          0.989          
K:K:rrrccrrrr            0.000          1.000          0.000          
K:K:rrrcr                0.000          0.003          0.997          
K:K:rrrcrr               0.000          0.477          0.523          
K:K:rrrcrrr              0.001          0.499          0.499          
K:K:rrrcrrrr             0.002          0.998          0.000          
K:K:rrrrc                0.000          0.537          0.463          
K:K:rrrrcc               0.000          0.004          0.996          
K:K:rrrrccr              0.000          0.514          0.486          
K:K:rrrrccrr             0.000          0.001          0.999          
K:K:rrrrccrrr            0.000          0.306          0.694          
K:K:rrrrccrrrr           0.000          0.999          0.000          
K:K:rrrrcr               0.000          0.149          0.851          
K:K:rrrrcrr              0.000          0.768          0.232          
K:K:rrrrcrrr             0.000          0.306          0.694          
K:K:rrrrcrrrr            0.000          1.000          0.000          
K:Q:cc                   0.000          0.999          0.001          
K:Q:ccc                  0.000          0.998          0.002          
K:Q:cccr                 0.240          0.760          0.000          
K:Q:cccrr                0.058          0.161          0.781          
K:Q:cccrrr               0.000          0.000          1.000          
K:Q:cccrrrr              0.028          0.972          0.000          
K:Q:ccr                  0.242          0.757          0.001          
K:Q:ccrr                 0.680          0.101          0.219          
K:Q:ccrrr                0.044          0.044          0.911          
K:Q:ccrrrr               0.500          0.500          0.000          
K:Q:crc                  0.000          1.000          0.000          
K:Q:crcc                 0.000          0.994          0.006          
K:Q:crccr                0.000          1.000          0.000          
K:Q:crccrr               0.613          0.377          0.010          
K:Q:crccrrr              0.000          0.000          1.000          
K:Q:crccrrrr             0.500          0.500          0.000          
K:Q:crcr                 0.117          0.883          0.000          
K:Q:crcrr                0.333          0.083          0.583          
K:Q:crcrrr               0.333          0.333          0.333          
K:Q:crcrrrr              0.500          0.500          0.000          
K:Q:crrc                 0.000          0.988          0.012          
K:Q:crrcc                0.000          0.020          0.980          
K:Q:crrccr               0.062          0.938          0.000          
K:Q:crrccrr              0.683          0.316          0.000          
K:Q:crrccrrr             0.333          0.333          0.333          
K:Q:crrccrrrr            0.000          1.000          0.000          
K:Q:crrcr                0.261          0.738          0.000          
K:Q:crrcrr               0.888          0.035          0.077          
K:Q:crrcrrr              0.222          0.389          0.389          
K:Q:crrcrrrr             0.036          0.964          0.000          
K:Q:crrrc                0.000          0.001          0.998          
K:Q:crrrcc               0.000          0.969          0.031          
K:Q:crrrccr              0.042          0.124          0.835          
K:Q:crrrccrr             0.002          0.519          0.479          
K:Q:crrrccrrr            0.000          0.500          0.500          
K:Q:crrrccrrrr           0.058          0.942          0.000          
K:Q:crrrcr               0.008          0.991          0.000          
K:Q:crrrcrr              0.004          0.996          0.000          
K:Q:crrrcrrr             0.333          0.333          0.333          
K:Q:crrrcrrrr            0.000          1.000          0.000          
K:Q:crrrrc               0.000          0.996          0.004          
K:Q:crrrrcc              0.000          0.749          0.251          
K:Q:crrrrccr             0.000          0.998          0.002          
K:Q:crrrrccrr            0.000          0.621          0.379          
K:Q:crrrrccrrr           0.000          0.022          0.978          
K:Q:crrrrccrrrr          0.000          1.000          0.000          
K:Q:crrrrcr              0.000          0.552          0.448          
K:Q:crrrrcrr             0.000          0.937          0.063          
K:Q:crrrrcrrr            0.000          0.999          0.000          
K:Q:crrrrcrrrr           0.000          1.000          0.000          
K:Q:rc                   0.000          1.000          0.000          
K:Q:rcc                  0.000          0.243          0.757          
K:Q:rccr                 0.265          0.735          0.000          
K:Q:rccrr                0.999          0.000          0.000          
K:Q:rccrrr               0.333          0.333          0.333          
K:Q:rccrrrr              0.000          1.000          0.000          
K:Q:rcr                  0.128          0.871          0.000          
K:Q:rcrr                 0.061          0.879          0.061          
K:Q:rcrrr                0.022          0.022          0.956          
K:Q:rcrrrr               0.500          0.500          0.000          
K:Q:rrc                  0.000          0.516          0.484          
K:Q:rrcc                 0.000          0.773          0.227          
K:Q:rrccr                0.003          0.996          0.000          
K:Q:rrccrr               0.000          0.997          0.003          
K:Q:rrccrrr              0.333          0.333          0.333          
K:Q:rrccrrrr             0.000          1.000          0.000          
K:Q:rrcr                 0.097          0.902          0.001          
K:Q:rrcrr                0.999          0.000          0.000          
K:Q:rrcrrr               0.064          0.610          0.326          
K:Q:rrcrrrr              0.500          0.500          0.000          
K:Q:rrrc                 0.000          0.975          0.025          
K:Q:rrrcc                0.000          0.006          0.994          
K:Q:rrrccr               0.002          0.989          0.009          
K:Q:rrrccrr              0.047          0.837          0.116          
K:Q:rrrccrrr             0.196          0.003          0.801          
K:Q:rrrccrrrr            0.995          0.005          0.000          
K:Q:rrrcr                0.004          0.995          0.000          
K:Q:rrrcrr               0.013          0.945          0.042          
K:Q:rrrcrrr              0.333          0.333          0.333          
K:Q:rrrcrrrr             0.000          1.000          0.000          
