Indexer Initialized. Flattened 840 sets into vectors of size 2520

Building Static Game Trees in RAM...
Detected 10 CPU Cores.
Starting multithreaded CFR Training (10000000 games total)...

Time:  1.02184 seconds
Speed: 9.78626e+06 games/sec

Training Complete.

=== LEARNED STRATEGY (Vector Based) ===
Info Set (Card:Hist)     Fold           Call/Check     Bet/Raise      
K:J:ccrrrr               0.259          0.741          0.000          
K:J:crc                  0.000          0.999          0.000          
K:J:crcc                 0.000          0.882          0.118          
K:J:crccr                0.000          0.999          0.000          
K:J:crccrr               0.170          0.827          0.003          
K:J:crccrrr              0.049          0.057          0.893          
K:J:crccrrrr             0.313          0.687          0.000          
K:J:crcr                 0.063          0.936          0.000          
K:J:crcrr                0.665          0.204          0.131          
K:J:crcrrr               0.290          0.303          0.408          
K:J:crcrrrr              0.083          0.917          0.000          
K:J:crrc                 0.000          0.995          0.005          
K:J:crrcc                0.000          0.214          0.786          
K:J:crrccr               0.072          0.928          0.000          
K:J:crrccrr              0.714          0.285          0.000          
K:J:crrccrrr             0.267          0.276          0.457          
K:J:crrccrrrr            0.096          0.904          0.000          
K:J:crrcr                0.018          0.979          0.003          
K:J:crrcrr               0.410          0.475          0.115          
K:J:crrcrrr              0.184          0.679          0.137          
K:J:crrcrrrr             0.148          0.852          0.000          
K:J:crrrc                0.000          0.034          0.966          
K:J:crrrcc               0.000          0.956          0.043          
K:J:crrrccr              0.000          0.893          0.106          
K:J:crrrccrr             0.005          0.908          0.087          
K:J:crrrccrrr            0.000          0.196          0.804          
K:J:crrrccrrrr           0.057          0.943          0.000          
K:J:crrrcr               0.010          0.989          0.001          
K:J:crrrcrr              0.018          0.979          0.003          
K:J:crrrcrrr             0.306          0.097          0.597          
K:J:crrrcrrrr            0.511          0.489          0.000          
K:J:crrrrc               0.000          0.687          0.313          
K:J:crrrrcc              0.000          0.846          0.154          
K:J:crrrrccr             0.000          0.994          0.006          
K:J:crrrrccrr            0.000          0.558          0.441          
K:J:crrrrccrrr           0.042          0.374          0.584          
K:J:crrrrccrrrr          0.000          0.999          0.000          
K:J:crrrrcr              0.000          0.908          0.091          
K:J:crrrrcrr             0.000          0.993          0.006          
K:J:crrrrcrrr            0.003          0.792          0.205          
K:J:crrrrcrrrr           0.072          0.928          0.000          
K:J:rc                   0.000          0.994          0.005          
K:J:rcc                  0.000          0.277          0.723          
K:J:rccr                 0.100          0.900          0.000          
K:J:rccrr                0.997          0.003          0.000          
K:J:rccrrr               0.175          0.128          0.697          
K:J:rccrrrr              0.290          0.710          0.000          
K:J:rcr                  0.113          0.887          0.000          
K:J:rcrr                 0.944          0.027          0.029          
K:J:rcrrr                0.474          0.165          0.360          
K:J:rcrrrr               0.390          0.610          0.000          
K:J:rrc                  0.000          0.908          0.092          
K:J:rrcc                 0.000          0.759          0.241          
K:J:rrccr                0.001          0.991          0.008          
K:J:rrccrr               0.091          0.906          0.003          
K:J:rrccrrr              0.920          0.016          0.064          
K:J:rrccrrrr             0.192          0.808          0.000          
K:J:rrcr                 0.065          0.932          0.002          
K:J:rrcrr                0.434          0.563          0.003          
K:J:rrcrrr               0.691          0.147          0.163          
K:J:rrcrrrr              0.444          0.556          0.000          
K:J:rrrc                 0.000          0.990          0.010          
K:J:rrrcc                0.000          0.412          0.588          
K:J:rrrccr               0.003          0.995          0.002          
K:J:rrrccrr              0.005          0.910          0.086          
K:J:rrrccrrr             0.107          0.389          0.504          
K:J:rrrccrrrr            0.579          0.421          0.000          
K:J:rrrcr                0.000          0.930          0.069          
K:J:rrrcrr               0.026          0.850          0.124          
K:J:rrrcrrr              0.011          0.273          0.716          
K:J:rrrcrrrr             0.099          0.901          0.000          
K:J:rrrrc                0.000          0.678          0.322          
K:J:rrrrcc               0.000          0.771          0.229          
K:J:rrrrccr              0.000          0.935          0.065          
K:J:rrrrccrr             0.001          0.858          0.141          
K:J:rrrrccrrr            0.004          0.478          0.517          
K:J:rrrrccrrrr           0.007          0.993          0.000          
K:J:rrrrcr               0.000          0.935          0.065          
K:J:rrrrcrr              0.000          0.994          0.006          
K:J:rrrrcrrr             0.002          0.886          0.113          
K:J:rrrrcrrrr            0.040          0.960          0.000          
K:K:cc                   0.000          0.020          0.980          
